Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;Aluminio_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
2463;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 4x1,5 MM;M;119381294042280.6;0.77;0.0;0.11;0.0;0.0;18.830000000000002
2464;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 4x2,5 MM;M;176471490414347.56;1.32;0.0;0.15;0.0;0.0;283600000000000.06
2465;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 4x4 MM;M;25448154969831.69;1.98;0.0;0.18;0.0;0.0;37.980000000000004
2466;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 4x6 MM;M;368093511331884.56;3.08;0.0;0.23;0.0;0.0;53.99
2467;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 4x10 MM;M;6657317312087.77;0.55;0.0;0.36;0.0;0.0;91.25
2472;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 5x2,5 MM;M;176471490414347.56;1.32;0.0;0.15;0.0;0.0;283600000000000.06
2473;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 6x1,0 MM;M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2474;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 6x1,5 MM;M;119381294042280.6;0.77;0.0;0.11;0.0;0.0;18.830000000000002
2475;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 6x2,5 MM;M;176471490414347.56;1.32;0.0;0.15;0.0;0.0;283600000000000.06
2476;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 7x1,0 MM;M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2477;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 7x1,5 MM;M;119381294042280.6;0.77;0.0;0.11;0.0;0.0;18.830000000000002
2523;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 4x4 MM;M;25448154969831.69;1.98;0.0;0.18;0.0;0.0;37.980000000000004
2524;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 4x6 MM;M;368093511331884.56;3.08;0.0;0.23;0.0;0.0;53.99
2525;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 4x10 MM;M;6657317312087.77;0.55;0.0;0.36;0.0;0.0;91.25
2526;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 4x16 MM;M;93716123555149.23;8.64;0.0;0.0;0.0;0.0;86650000000000.02
2527;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 4x25 MM;M;0.0;1.75;0.0;0.93;0.0;0.0;2.68
2696;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 2x1,0 MM;M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2701;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 2x10 MM;M;6657317312087.77;0.55;0.0;0.36;0.0;0.0;91.25
2702;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 2x16 MM;M;93716123555149.23;8.64;0.0;0.0;0.0;0.0;86650000000000.02
2703;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 2x25 MM;M;0.0;1.75;0.0;0.93;0.0;0.0;2.68
2704;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 3x1,0 MM;M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2705;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 3x1,5 MM;M;119381294042280.6;0.77;0.0;0.11;0.0;0.0;18.830000000000002
2706;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 3x2,5 MM;M;176471490414347.56;1.32;0.0;0.15;0.0;0.0;283600000000000.06
2711;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 3x25 MM;M;0.0;1.75;0.0;0.93;0.0;0.0;2.68
2712;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 4x1,0 MM;M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
